backend,mode,n,nlocal,ranks,threads,total_workers,repeats,total_median_s,total_stdev_s,force_median_s,force_stdev_s,communication_median_s,communication_fraction,runtime_over_ideal,integration_median_s,energy_median_s,initial_acceleration_median_s,speedup,parallel_efficiency,force_speedup,force_efficiency,max_relative_energy_drift,statuses,baseline
native,weak,8192,8192,1,1,1,5,24.032468646,0.02287101469192452,23.778438846,0.024399271353738615,0.0,0.0,1.0,23.67154425,0.246787117,0.23504825,1.0,1.0,1.0,1.0,8.988769099381327e-08,OK,yes
native,weak,16384,8192,2,1,2,5,48.688509224,0.04933908646881385,47.952844935,0.04453287895846119,0.714484151,0.014674594938055932,1.012973530542893,47.849216956,0.715754898,0.475204825,1.9743852526216752,0.9871926263108376,1.9834851407236949,0.9917425703618474,1.0344042348052176e-07,OK,no
native,weak,32768,8192,4,1,4,5,97.61550793,0.09869476864499166,95.913354753,0.0976236994010019,2.311073189,0.023675266748161252,1.0154544396570686,95.818206261,1.649553875,0.946721689,3.93912306036187,0.9847807650904675,3.966653262371683,0.9916633155929208,1.8487208109986004e-07,OK,no
native,weak,65536,8192,8,1,8,5,195.622069607,0.250036985048489,191.97762056,0.28119705570371367,6.059525073,0.030975672045457033,1.0174884262231192,191.941879441,3.503209804,1.897437279,7.8624972961075486,0.9828121620134436,7.927070258006328,0.990883782250791,9.64840098159314e-07,OK,no
native,weak,131072,8192,16,1,16,5,391.787201248,1.201006535732239,384.396732785,1.2299730296560816,10.344596487,0.0264036100568071,1.0189007396073562,384.361681971,7.227296669,3.807575435,15.703197944645485,0.9814498715403428,15.835931539981964,0.9897457212488727,3.576959530231172e-06,OK,no
