metric,message_size_bytes,repeats,native_median,native_stdev,container_median,container_stdev,relative_difference_percent
latency,1,5,9.94,0.16102794788483177,10.0,0.08814760348415562,0.6036217303823088
latency,2,5,9.91,0.1377316230936096,9.87,0.15009996668887007,-0.403632694248246
latency,4,5,9.95,0.14310835055998689,9.94,0.11458621208504965,-0.10050251256281673
latency,8,5,9.97,0.07778174593051977,9.94,0.09300537618869163,-0.30090270812438424
latency,16,5,10.0,0.11148990985734979,9.95,0.07893034904268428,-0.5000000000000115
latency,32,5,10.06,0.13141537200799558,10.11,0.1073312629199901,0.4970178926441138
latency,64,5,10.2,0.1404635183953472,10.17,0.1001498876684346,-0.2941176470588225
latency,128,5,10.25,0.14152738250953456,10.21,0.12340988615179914,-0.39024390243901363
latency,256,5,10.39,0.12794530081249558,10.33,0.06985699678629158,-0.5774783445620879
latency,512,5,10.73,0.12660963628413147,10.67,0.08555699854482969,-0.5591798695247063
latency,1024,5,11.19,0.13011533345459328,11.17,0.06985699678629158,-0.17873100983020196
latency,2048,5,13.87,0.17810109488714548,13.88,0.14078352176302442,0.07209805335257613
latency,4096,5,16.19,0.19357169214531314,16.25,0.1656200470957547,0.3705991352686677
latency,8192,5,20.34,0.25223005372080437,20.28,0.12755391017134576,-0.2949852507374562
latency,16384,5,28.6,0.15598076804529407,28.57,0.10899541274750923,-0.10489510489510856
latency,32768,5,44.09,0.17826945896591392,43.94,0.3217452408350437,-0.34021320027218804
latency,65536,5,99.38,1.0779703149901667,100.3,0.69573701928243,0.9257395854296746
latency,131072,5,172.12,3.0615927227506856,173.15,4.434149298343487,0.5984197071810415
latency,262144,5,255.49,24.74914301546622,237.47,32.98258373748182,-7.053113624799412
latency,524288,5,349.93,76.50490409117575,431.65,84.77262305721112,23.353242076986813
latency,1048576,5,678.79,131.7008941503436,765.03,151.7948878256445,12.70496029699908
latency,2097152,5,1282.96,41.383439683042276,1281.93,324.36132864446097,-0.08028309534201528
latency,4194304,5,2424.84,8.365645223173152,2427.5,690.2351894245902,0.10969795945299232
bandwidth,1,5,0.14,0.005477225575051666,0.14,0.004472135954999583,0.0
bandwidth,2,5,0.27,0.007071067811865481,0.27,0.005477225575051666,0.0
bandwidth,4,5,0.55,0.010954451150103331,0.55,0.008944271909999166,0.0
bandwidth,8,5,1.1,0.025099800796022288,1.1,0.015165750888103114,0.0
bandwidth,16,5,2.18,0.05431390245600107,2.2,0.03420526275297426,0.917431192660545
bandwidth,32,5,4.37,0.10848963084092413,4.38,0.06655824516917498,0.22883295194506825
bandwidth,64,5,8.77,0.18077610461562668,8.79,0.13065221008463662,0.22805017103761926
bandwidth,128,5,17.24,0.37076947015632195,17.28,0.19501282009139798,0.23201856148493682
bandwidth,256,5,33.56,2.836150560178356,29.92,2.6537011889057887,-10.846245530393329
bandwidth,512,5,57.47,1.5509932301593068,58.08,0.9657484144434307,1.0614233513137172
bandwidth,1024,5,108.84,2.1218671023417124,108.51,2.376324893611981,-0.3031973539139976
bandwidth,2048,5,192.11,2.358372320054661,191.95,3.4820611712030556,-0.08328561761492548
bandwidth,4096,5,322.79,3.1428856167541324,324.6,6.116063276324076,0.560736082282598
bandwidth,8192,5,509.33,5.109650672991261,511.09,6.537585181089428,0.3455519996858669
bandwidth,16384,5,717.3,8.108740346070991,722.05,11.154771624735277,0.6622054928203003
bandwidth,32768,5,919.57,1.4392115897254356,920.49,13.167050542927223,0.10004676098611665
bandwidth,65536,5,828.88,8.012448439771685,826.46,3.6051809940695145,-0.2919602354985007
bandwidth,131072,5,870.21,7.218706947923582,865.1,7.810593447363658,-0.5872145803886397
bandwidth,262144,5,993.32,10.486513720012006,994.5,13.985500706088445,0.11879354085289062
bandwidth,524288,5,1263.51,95.53974633627615,1253.49,103.11104611049198,-0.7930289431820836
bandwidth,1048576,5,1572.81,213.21972099221966,1574.7,214.96408565153388,0.120167089476797
bandwidth,2097152,5,1596.02,215.68614253122516,1598.5,216.54983544209864,0.1553865239783958
bandwidth,4194304,5,1673.45,245.55953263923598,1668.57,244.22221862475985,-0.2916131345424233
