method,n,repeats,seconds_median,seconds_stdev,values_per_second,speedup_vs_sqrtf,max_relative_error,statuses
sqrtf,16777216,5,0.032574682,2.115867506012441e-05,515038519.7927642,1.0,8.93896544020228e-08,OK
rsqrt0,16777216,5,0.001598691,1.059317993805453e-05,10494345686.564821,20.37584623920445,0.00025822211540476263,OK
rsqrt1,16777216,5,0.001632563,6.0230198156738394e-06,10276611683.591995,19.953093387513988,1.7166961115397115e-07,OK
rsqrt2,16777216,5,0.002468788,3.700979491972394e-06,6795729726.489273,13.194604802032414,1.1720069109814725e-07,OK
