mode,n,nsteps,dt,eps,ranks,threads,total_workers,blocking_repeats,overlap_repeats,blocking_total_median_s,overlap_total_median_s,blocking_total_stdev_s,overlap_total_stdev_s,blocking_force_median_s,overlap_force_median_s,blocking_comm_median_s,overlap_exposed_comm_median_s,hidden_comm_s,overlap_fraction,runtime_saved_s,runtime_saved_per_blocking_comm,napkin_runtime_saved_s,napkin_overlap_fraction,total_speedup_blocking_over_overlap,max_drift_blocking,max_drift_overlap,status_blocking,status_overlap
strong,32768,20,1e-4,0.05,4,1,4,5,5,20.987808005,20.868139675,0.07859439982911676,0.007769932656224029,19.366733102,19.247756547,1.036399151,0.866719782,0.1696793689999999,0.1637200964862619,0.11966833000000321,0.11546548439810833,1.0363991510000012,1.0000000000000013,1.0057344991869768,2.5497354320666746e-07,2.5497354320666746e-07,OK,OK
strong,32768,20,1e-4,0.05,8,1,8,5,5,10.513723773,10.510297056,0.08373797674908132,0.0076627243611094055,9.624417693,9.622206493,0.678918185,0.65878399,0.02013419500000002,0.02965629061769795,0.003426716999999968,0.005047319508756373,0.6789181850000006,1.0000000000000009,1.000326034267323,2.5497354358708526e-07,2.5497354358708526e-07,OK,OK
strong,32768,20,1e-4,0.05,16,1,16,5,5,5.358677306,5.361461111,0.006078533995886584,0.0016557611336578096,4.89535932,4.892501885,0.478483108,0.479698541,0.0,0.0,-0.0027838049999999726,-0.005817979680904373,0.4784831079999998,0.9999999999999997,0.9994807749338537,2.5497354358708526e-07,2.5497354358708526e-07,OK,OK
strong,32768,20,1e-4,0.05,32,1,32,5,5,2.729328531,2.716460929,0.08350625061254094,0.0028125941663049384,2.47858014,2.477844076,0.22667966,0.211974942,0.014704718000000006,0.06487003730286169,0.012867602000000034,0.05676557834964122,0.22667965999999984,0.9999999999999992,1.004736899346731,2.5497354358708526e-07,2.5497354358708526e-07,OK,OK
