ranks,threads,total_workers,repeats,total_median_s,total_stdev_s,force_median_s,force_stdev_s,force_fraction,communication_median_s,integration_median_s,energy_median_s,initial_acceleration_median_s,n,nsteps,force_evaluations,interactions,ginteractions_per_second,total_speedup,total_efficiency,force_speedup,force_efficiency,max_relative_energy_drift,statuses,baseline
2,32,64,5,1.357946192,0.002116457490544022,1.208747839,0.00343983003764196,0.8901294072777222,0.015177502,1.229259236,0.114797919,0.058458986,32768,20,21,22547890176,18.6539238776666,1.0,0.015625,1.0,0.015625,2.5497354358708526e-07,OK,yes
8,8,64,5,1.356581522,0.009520791443935606,1.205893228,0.0012601397204883202,0.8889205760536669,0.094986868,1.22035369,0.11479309,0.058709949,32768,20,21,22547890176,18.6980817641676,1.001005962397297,0.015640718162457767,1.0023672170418723,0.015661987766279254,2.5497354377729413e-07,OK,no
64,1,64,5,1.362196453,0.006402104134122646,1.215686467,0.004284986439565382,0.8924457733850817,0.143500573,1.237760985,0.11615038,0.05961405,32768,20,21,22547890176,18.54745511121989,0.9968798472565102,0.015576247613382973,0.9942924198069566,0.015535819059483697,2.5497354320666746e-07,OK,no
