backend,mode,n,nsteps,ranks,threads,workers,total_median_s,total_stdev_s,force_median_s,force_stdev_s,force_fraction,interactions,interactions_per_second,ginteractions_per_second,ideal_ginteractions_per_second,throughput_efficiency,nominal_gflops_s
native,strong,32768,100,1,1,1,374.387699945,0.49005926405877714,370.531173319,0.489563941757883,0.9896991097021441,108444614656,292673390.1620666,0.29267339016206656,0.29267339016206656,1.0,5.853467803241331
native,strong,32768,100,2,1,2,187.821448131,0.06583956517874817,185.02095988,0.08470394284539394,0.9850896248598469,108444614656,586120700.7375516,0.5861207007375516,0.5853467803241331,1.0013221571202457,11.722414014751033
native,strong,32768,100,4,1,4,94.101275611,0.01782894859941196,92.475055334,0.019083580607439938,0.9827184034813455,108444614656,1172690454.35357,1.1726904543535699,1.1706935606482662,1.001705735618976,23.4538090870714
native,strong,32768,100,8,1,8,47.148061014,0.005165610209026574,46.242100799,0.003022745830698881,0.9807847831805642,108444614656,2345148961.2761097,2.34514896127611,2.3413871212965325,1.001606671509107,46.902979225522195
native,strong,32768,100,16,1,16,23.620087483,0.00512920706604291,23.142003147,0.001769600811543207,0.9797594172187513,108444614656,4686051331.302241,4.686051331302242,4.682774242593065,1.000699817787364,93.72102662604483
native,strong,32768,100,32,1,32,11.870894709,0.01577049503585782,11.584478518,0.006580372772188501,0.9758724006891534,108444614656,9361199512.56316,9.361199512563159,9.36554848518613,0.9995356414384219,187.2239902512632
