layout,n,threads,repeats,interactions,approx_flops,seconds_median,seconds_stdev,approx_mflop_s,speedup_vs_aos,max_abs_accel_diff,statuses
aos,16384,1,5,268419072,5368381440.0,0.903033783,0.00015065752822477358,5944.829020865102,1.0,0.0,OK
soa,16384,1,5,268419072,5368381440.0,0.9108952,0.00043888710927152537,5893.52259184152,0.9913695702864611,0.0,OK
aos,16384,2,5,268419072,5368381440.0,0.45196976,0.00015103434901206735,11877.744741152594,1.0,0.0,OK
soa,16384,2,5,268419072,5368381440.0,0.455871047,0.0017640637197686574,11776.0964977449,0.991442125957168,0.0,OK
aos,16384,4,5,268419072,5368381440.0,0.226311107,0.0002049023921614844,23721.245992579585,1.0,0.0,OK
soa,16384,4,5,268419072,5368381440.0,0.227896789,0.0018769961751097662,23556.19604627251,0.9930421046871355,0.0,OK
aos,16384,8,5,268419072,5368381440.0,0.115289224,0.001032225834721406,46564.4685057469,1.0,0.0,OK
soa,16384,8,5,268419072,5368381440.0,0.115799797,0.02540397254812881,46359.161061396335,0.9955908990064982,0.0,OK
